 "ticks" "who" "xcor" "ycor"
 0 4551 2 0
 0 4566 2 0
 0 4542 2 0
 0 4554 2 0
 0 4563 2 0
 0 4569 2 0
 0 4547 2 0
 0 4571 2 0
 0 4565 2 0
 0 4556 2 0
 0 4564 2 0
 0 4558 2 0
 0 4550 2 0
 0 4575 2 0
 0 4553 2 0
 0 4570 2 0
 0 4552 2 0
 0 4574 4 1
 0 4543 2 0
 0 4557 2 0
 0 4562 2 0
 0 4560 2 0
 0 4568 2 0
 0 4541 2 0
 0 4559 2 0
 0 4548 2 0
 0 4573 2 0
 0 4567 2 0
 0 4544 2 0
 0 4555 2 0
 0 4545 2 0
 0 4561 2 0
 0 4549 2 0
 0 4572 4 2
 0 4546 4 2
 1 4543 1 -1
 1 4567 1 -1
 1 4551 1 -1
 1 4552 1 -1
 1 4573 1 -1
 1 4558 1 -1
 1 4548 1 -1
 1 4553 1 -1
 1 4564 1 -1
 1 4555 1 -1
 1 4560 1 -1
 1 4566 1 -1
 1 4575 1 -1
 1 4547 1 -1
 1 4544 1 -1
 1 4554 1 -1
 1 4565 1 -1
 1 4559 1 -1
 1 4569 1 -1
 1 4561 1 -1
 1 4568 1 -1
 1 4541 1 -1
 1 4549 1 -1
 1 4556 1 -1
 1 4557 1 -1
 1 4562 1 -1
 1 4570 1 -1
 1 4574 5 0
 1 4571 1 -1
 1 4550 1 -1
 1 4572 5 2
 1 4545 1 -1
 1 4563 1 -1
 1 4542 1 -1
 1 4546 5 2
 2 4561 0 -1
 2 4545 0 -1
 2 4563 0 -1
 2 4564 0 -1
 2 4555 0 -1
 2 4554 0 -1
 2 4571 0 -1
 2 4552 0 -1
 2 4543 0 -1
 2 4542 0 -1
 2 4575 0 -1
 2 4562 0 -1
 2 4553 0 -1
 2 4558 0 -1
 2 4550 0 -1
 2 4570 0 -1
 2 4565 0 -1
 2 4546 4 3
 2 4548 0 -1
 2 4567 0 -1
 2 4573 0 -1
 2 4551 0 -1
 2 4559 0 -1
 2 4569 1 0
 2 4544 0 -1
 2 4572 4 3
 2 4549 0 -1
 2 4568 0 -1
 2 4566 0 -1
 2 4560 0 -1
 2 4574 5 -1
 2 4556 0 -1
 2 4541 0 -2
 2 4557 0 -1
 2 4547 0 -1
 3 4571 -1 -2
 3 4542 -1 -2
 3 4573 -1 -2
 3 4552 -1 -2
 3 4555 -1 -2
 3 4545 -1 -2
 3 4549 -1 -2
 3 4553 -1 -2
 3 4541 1 -2
 3 4554 -1 -2
 3 4568 -1 -2
 3 4547 -1 -2
 3 4543 0 0
 3 4564 -1 -2
 3 4556 -1 -2
 3 4551 -1 -2
 3 4567 -1 -2
 3 4550 -1 -2
 3 4546 4 2
 3 4561 -1 -2
 3 4566 -1 -2
 3 4544 -1 -2
 3 4565 -1 -2
 3 4559 -1 -2
 3 4557 -1 -2
 3 4560 -1 -2
 3 4574 5 -2
 3 4563 -1 -2
 3 4572 5 2
 3 4569 0 1
 3 4570 -1 -2
 3 4558 -1 -2
 3 4575 -1 -2
 3 4562 -1 -2
 3 4548 -1 -2
 4 4564 -2 -3
 4 4561 -2 -3
 4 4542 -2 -3
 4 4574 5 -3
 4 4575 -2 -3
 4 4548 -2 -3
 4 4547 -2 -3
 4 4541 1.9324144625470263 -2.361390744254941
 4 4550 -2 -3
 4 4553 -2 -3
 4 4546 3 0
 4 4560 -2 -3
 4 4557 -2 -3
 4 4573 -2 -3
 4 4552 -2 -3
 4 4567 -2 -3
 4 4554 -2 -3
 4 4551 -2 -3
 4 4559 -2 -3
 4 4549 -2 -3
 4 4569 1 2
 4 4563 -2 -3
 4 4562 -2 -3
 4 4543 -1 1
 4 4570 -2 -3
 4 4565 -2 -3
 4 4568 -2 -3
 4 4572 4 2
 4 4556 -2 -3
 4 4566 -2 -3
 4 4571 -2 -3
 4 4544 -2 -3
 4 4555 -2 -3
 4 4545 -2 -3
 4 4558 -2 -3
 5 4571 -1 -4
 5 4555 -1 -4
 5 4559 -3 -3
 5 4550 -1 -4
 5 4572 3 0
 5 4562 -1 -4
 5 4549 -1 -4
 5 4564 -3 -3
 5 4545 -1 -4
 5 4543 -2 1
 5 4566 -3 -3
 5 4554 -1 -4
 5 4548 -3 -3
 5 4574 6 -4
 5 4552 -1 -4
 5 4567 -1 -4
 5 4546 3 -1
 5 4560 -1 -4
 5 4547 -3 -3
 5 4569 2 1
 5 4553 -1 -4
 5 4542 -3 -3
 5 4561 -1 -4
 5 4575 -3 -3
 5 4541 3 -1
 5 4563 -3 -3
 5 4558 -3 -3
 5 4573 -3 -3
 5 4557 -3 -3
